ID,人数,順位,ゲームの時間,送ったライン合計,APM,日付,(JST),リプレイ
K0PM88,6,4/6,29.92,16,34.09,2021-06-02,13:02:54,---
6FQY5E,6,6/6,32.23,14,27.92,2021-06-02,13:01:35,---
XON8R9,6,4/6,55.58,15,49.66,2021-06-02,12:59:44,---
VZER4Q,5,1/5,2:19.220,64,36.2,2020-01-11,01:20:34,---
ZPLCA2,4,2/4,2:01.650,59,36.99,2021-05-30,04:14:56,---
1J1VW4,4,2/4,1:28.350,40,37.35,2021-05-30,04:12:50,---
JH6GGH,5,2/5,2:22.830,76,43.27,2020-10-13,14:49:25,---
JFXHM7,6,3/6,26.99,39,88.92,2020-01-22,03:56:50,---
XFG1L2,5,2/5,2:42.290,88,41.04,2021-05-30,04:08:20,---
1A8BNX,5,4/5,31.56,1,3.8,2021-05-30,04:05:32,---
0MHMVJ,4,2/4,2:15.060,64,34.65,2021-05-30,04:03:03,---
SWCYHY,6,3/6,2:19.760,89,45.94,2021-05-30,04:00:44,---
87T744,4,2/4,51.94,38,55.45,2021-05-30,00:48:43,---
4VX2VU,4,2/4,51.88,34,53.2,2021-05-30,00:47:46,---
U5LS3K,4,2/4,1:32.770,70,53.03,2021-05-30,00:46:48,---
6B6ZNT,5,4/5,45.64,19,32.87,2021-05-30,00:45:10,---
RIID0J,5,4/5,27.38,9,19.72,2021-05-30,00:43:42,---
QETX78,6,2/6,2:04.650,67,45.25,2021-05-30,00:42:47,---
1FFLYY,4,4/4,22.32,22,69.89,2021-05-30,00:40:38,---
CZDZK2,5,2/5,54.39,45,51.85,2021-05-30,00:38:55,---
RX5087,5,1/5,2:35.200,93,50.26,2021-05-29,21:24:10,---
DX1LG4,6,2/6,1:53.350,43,35.47,2021-05-29,21:21:31,---
48ZCKF,6,3/6,1:25.490,31,28.07,2021-05-29,21:19:29,---
9LROJI,6,2/6,2:00.650,64,41.28,2021-05-29,21:16:44,---
ET7RIJ,5,3/5,2:14.710,61,32.51,2021-05-29,21:14:37,---
22JGN9,4,2/4,2:27.410,68,40.3,2021-05-29,21:11:32,---
WBXZU6,5,5/5,21.38,3,11.23,2021-05-29,17:52:47,---
YTPR0C,6,2/6,2:18.790,70,38.48,2021-05-29,17:50:45,---
CQZN0N,5,4/5,22.51,20,53.31,2021-05-29,17:48:23,---
JESOIN,6,4/6,40.73,10,38.3,2021-05-29,17:47:04,---
XTV6GI,6,5/6,22.97,0,5.22,2021-05-29,17:45:31,---
R8N4E6,5,3/5,2:00.030,55,36.99,2021-05-29,17:44:16,---
0M8FLP,5,4/5,26.68,10,33.73,2021-05-29,17:42:04,---
M64QLS,6,5/6,16.03,0,0.0,2021-05-29,17:41:04,---
6SKLOX,4,1/4,2:06.450,87,55.52,2021-05-29,15:47:56,---
MDGG3Y,5,3/5,1:03.880,28,35.69,2021-05-29,15:45:46,---
LFOWB8,5,1/5,2:21.340,70,36.93,2021-05-28,17:10:43,---
SXMO5Y,3,2/3,1:10.840,46,44.04,2021-05-28,17:08:16,---
XPM0D4,6,3/6,2:11.540,66,49.72,2021-05-28,17:07:01,---
SKWFKR,5,2/5,1:03.770,47,47.98,2021-05-28,17:04:45,---
C9I9UP,5,3/5,2:17.390,77,38.87,2021-05-28,17:03:34,---
P34NTZ,6,3/6,2:14.570,59,39.24,2021-05-28,17:01:05,---
8WZSJN,38,1/38,2:59.230,136,51.55,2021-05-28,13:15:15,---
WKCV0R,38,3/38,2:55.010,126,49.71,2021-05-28,13:12:10,---
8JLPTM,3,1/3,33.83,14,31.92,2021-05-26,23:33:39,---
KNNJZT,9,1/9,2:09.460,92,47.74,2019-08-09,01:42:19,---
6RV1UD,5,5/5,19.57,6,18.4,2021-05-26,23:24:16,---
D3MKQQ,6,4/6,1:11,46,56.62,2021-05-26,23:23:15,---
H7VFFP,5,3/5,1:52.460,78,43.22,2021-05-26,23:21:35,---
4UK001,6,3/6,1:53.630,49,31.68,2021-05-26,23:19:17,---
GLV864,6,4/6,1:02.290,11,31.79,2021-05-26,23:17:14,---
GI36UQ,5,3/5,1:12.720,64,66.01,2021-05-26,21:25:07,---
CC93OT,5,2/5,1:32.290,49,39.66,2021-05-26,21:23:37,---
YXAKBM,4,2/4,1:12.390,41,49.73,2021-05-26,21:21:59,---
4GU5MX,4,4/4,1:23.150,16,19.48,2021-05-26,19:59:08,---
T35E9G,5,2/5,1:31.360,63,47.29,2021-05-26,18:36:23,---
QIUB6C,5,2/5,1:17.440,36,37.96,2021-05-26,18:03:19,---
PN7MHN,3,1/3,2:16.380,82,39.16,2021-05-26,18:01:57,---
ILQLZL,4,3/4,1:12.100,27,27.46,2021-05-26,17:59:30,---
VS0XD7,3,2/3,55.58,31,38.86,2021-05-26,17:30:43,---
74DOKW,38,1/38,2:59.570,82,32.74,2021-05-26,14:37:20,---
JV76E2,42,2/42,2:43.990,72,35.12,2021-05-26,14:34:15,---
ZDDG1S,6,4/6,45.01,18,23.99,2021-05-26,04:14:33,---
5IZ0TT,36,1/36,2:41.900,101,44.47,2021-05-26,03:17:20,---
N48VR8,41,9/41,2:22.610,57,31.13,2021-05-26,03:14:32,---
ZT1TE3,5,2/5,2:22.330,85,43.84,2021-05-25,18:06:18,---
R9Q3SR,6,2/6,2:31.060,87,45.28,2021-05-25,18:03:51,---
MTKDXY,5,2/5,2:18.710,70,35.04,2021-05-25,18:01:13,---
LL1VHB,6,2/6,2:21.320,77,37.79,2021-05-25,17:58:47,---
GTGC38,6,2/6,1:27.830,43,40.99,2021-05-24,02:06:32,---
NPDFE8,5,3/5,32.32,24,46.41,2021-05-24,02:04:59,---
5N1SX0,4,2/4,1:12.260,32,32.38,2021-05-24,02:03:17,---
AB9RA9,4,1/4,1:14.110,51,46.15,2021-05-24,02:01:54,---
ODH9X0,4,2/4,1:27.710,47,36.94,2021-05-24,02:00:36,---
ZSQEJ5,5,1/5,1:57.010,96,53.84,2021-05-24,01:58:52,---
9SYZC1,5,1/5,1:39.020,44,29.09,2021-05-24,01:56:49,---
X0AEFE,6,2/6,2:22.830,54,41.59,2021-05-24,01:55:04,---
9JOWHL,39,2/39,3:04.200,73,30.29,2021-05-24,00:28:55,---
F4SBWV,38,8/38,2:42.020,79,35.55,2021-05-24,00:25:45,---
JWP2VO,43,8/43,2:30.770,95,47.75,2021-05-24,00:22:37,---
QH1YAF,2,1/2,1:19.190,45,37.88,2021-05-23,04:59:58,---
DFH4EL,5,3/5,1:48.490,57,35.39,2021-05-23,04:58:25,---
4WGY0O,6,3/6,2:12.430,79,40.78,2021-05-23,04:56:09,---
DROJRI,5,1/5,2:15.610,63,33.63,2021-05-23,04:53:02,---
5GOS52,5,3/5,45.67,32,45.98,2021-05-23,04:50:42,---
YQU1NQ,4,3/4,50.31,6,14.31,2021-05-23,04:49:06,---
Y192TJ,4,3/4,2:19.380,67,36.16,2021-05-23,04:47:34,---
EXMCM8,5,2/5,2:59.820,77,35.04,2021-05-23,04:44:27,---
AVEHD8,5,3/5,2:03.210,67,39.93,2021-05-23,04:41:10,---
2M2JM4,4,3/4,1:05.810,21,22.79,2021-05-23,04:38:47,---
G3FLNX,5,2/5,1:30.630,42,33.1,2021-05-23,04:36:53,---
ND5WZS,4,3/4,28.32,2,10.59,2021-05-23,04:35:18,---
PZZ9SU,4,2/4,52.5,26,44.57,2021-05-23,04:33:33,---
VEHX4L,5,4/5,35.01,19,44.56,2021-05-22,19:23:02,---
4Q4ACT,6,3/6,1:14.280,25,26.66,2021-05-22,19:21:06,---
DYEYLJ,5,2/5,2:17.530,55,37.52,2021-05-22,19:19:09,---
QLKVTD,3,2/3,2:27.030,67,43.26,2021-05-22,19:16:48,---
MQZO24,40,8/40,2:28.530,62,29.09,2021-05-22,18:15:16,---
S5YHZP,3,1/3,2:10.180,79,42.86,2021-05-20,09:54:40,---
3FODO8,3,1/3,1:18.760,45,36.57,2021-05-20,09:52:13,---
CZX21H,3,2/3,1:13.910,26,37.34,2021-05-20,07:58:12,---
RBKE6S,37,7/37,2:37.600,55,28.55,2021-05-20,04:12:05,---
JNG0BE,41,6/41,2:26.750,63,31.07,2021-05-20,04:09:00,---
H1WEK5,43,2/43,2:55.760,126,49.16,2021-05-20,04:05:58,---
G1U5NC,40,1/40,3:03.110,83,32.77,2021-05-20,04:02:56,---
RX7VBE,40,10/40,2:20.600,74,37.13,2021-05-20,03:59:47,---
87VZKT,50,5/50,2:23.050,78,39.43,2020-08-07,08:43:56,---
TQMR60,49,10/49,2:29.100,88,41.45,2021-05-20,03:53:40,---
3RZ3NP,6,2/6,1:09.450,35,36.29,2021-05-20,03:48:13,---
XE78LA,5,4/5,31.61,11,30.37,2021-05-20,03:46:59,---
RE2I7V,5,1/5,2:54.080,72,27.57,2021-05-19,23:29:35,---
O5RM5Y,5,1/5,1:29.490,54,41.57,2021-05-19,23:26:36,---
E9PSH9,6,1/6,2:55.150,82,32.54,2021-05-19,23:25:02,---
YW988V,6,1/6,2:47.010,87,37.0,2021-05-19,23:21:57,---
WZWEY5,5,2/5,2:14.230,67,38.89,2021-05-19,23:19:06,---
ON2XUQ,3,2/3,23.62,7,45.72,2021-05-19,21:51:01,---
9FNJZR,5,1/5,1:52.590,97,53.82,2021-05-19,21:43:24,---
RVTEX8,6,3/6,2:09.620,42,26.38,2021-05-19,21:41:22,---
NPPW1Y,6,3/6,2:18.610,62,32.47,2021-05-19,21:38:54,---
79ML2A,6,1/6,2:09.810,105,56.39,2021-05-19,19:22:25,---
VFYV13,4,2/4,2:53.860,60,29.33,2021-05-19,19:20:06,---
76P09R,4,2/4,1:36.380,32,24.28,2021-05-19,19:00:51,---
JOG3OF,4,4/4,33.33,15,36.0,2021-05-19,18:28:07,---
KK21DK,5,2/5,1:42.390,50,41.61,2021-05-19,18:27:09,---
WPQ605,5,1/5,2:27.870,101,49.5,2021-05-19,18:25:09,---
FQPTZV,3,1/3,2:49.900,79,33.55,2021-05-17,17:57:34,---
GZMT07,3,2/3,1:25.440,41,35.11,2021-05-17,17:54:40,---
G2IVGQ,4,1/4,1:57.370,48,31.18,2021-05-17,17:53:10,---
QPXPRJ,5,4/5,41.75,13,24.43,2021-05-17,16:12:03,---
87YNXV,4,1/4,52.58,38,59.34,2021-05-17,14:57:59,---
JEYNW3,6,1/6,1:06.830,48,50.28,2021-05-17,14:56:57,---
0BDBFI,3,1/3,1:46.050,45,43.56,2021-05-16,20:14:35,---
3V79P8,5,2/5,1:47.490,64,48.0,2021-05-16,04:25:27,---
1XC9KF,3,1/3,1:24.650,80,60.96,2021-05-16,04:23:29,---
6OCJGQ,5,1/5,2:06.410,99,55.53,2021-05-16,04:22:00,---
SG00YX,5,1/5,1:16.480,50,43.15,2021-05-16,04:19:42,---
TZQ4ZW,5,3/5,34.45,9,15.67,2021-05-16,04:18:21,---
VR4ED1,4,1/4,1:25.590,56,42.76,2021-05-16,04:17:14,---
QT1TEV,5,2/5,2:14.770,72,42.74,2021-05-16,04:15:41,---
BVOAE4,4,1/4,2:15.750,69,35.8,2021-05-16,04:13:21,---
3QQ5N9,6,4/6,1:17.980,39,39.24,2021-05-14,17:25:56,---
0E1VMC,5,2/5,2:19.490,104,53.34,2021-05-14,17:00:46,---
QBTXWJ,6,2/6,2:12.060,50,27.71,2021-05-14,14:45:40,---
8FPMCV,5,1/5,2:23.680,69,33.41,2021-05-14,14:43:21,---
OQP7UU,6,4/6,1:31.190,36,32.9,2021-05-14,14:40:46,---
1YPSHJ,5,1/5,2:20.590,59,30.3,2021-05-14,00:02:10,---
TKSXQA,6,2/6,2:22.480,87,42.95,2021-05-13,23:59:44,---
KEC81T,7,3/7,1:57.220,71,39.92,2021-05-13,23:57:18,---
FCF99M,6,4/6,1:27.680,24,21.9,2021-05-13,23:54:23,---
38Y6UB,6,6/6,38.05,11,28.38,2021-05-13,23:52:13,---
I60Y0A,6,2/6,2:15.330,90,46.55,2021-05-13,23:50:53,---
IBXSIL,5,4/5,28.09,9,19.22,2021-05-13,22:13:48,---
WZT6K2,4,4/4,35.63,24,43.78,2021-05-13,16:37:27,---
OT4W5H,5,2/5,1:37.250,41,42.57,2021-05-13,00:47:02,---
8IMXK5,39,5/39,2:42.020,56,27.4,2021-05-12,18:36:24,---
C4MQGM,3,1/3,2:53.820,69,31.76,2021-05-12,17:39:22,---
95I8TV,6,4/6,46.01,24,50.86,2021-05-12,17:36:22,---
AHDGJO,6,3/6,1:25.280,45,33.77,2021-05-12,17:34:01,---
YIHLMI,6,5/6,1:04.450,33,43.75,2021-05-11,18:30:43,---
DJ4WCH,6,4/6,1:19.740,27,32.36,2021-05-11,18:29:01,---
MPIVSP,5,2/5,1:12.290,42,40.67,2021-05-11,16:29:19,---
7ZV95W,4,2/4,1:52.570,69,47.44,2021-05-11,01:06:22,---
VP7I4H,6,2/6,1:08.760,34,44.5,2021-05-11,01:04:24,---
VODOJB,6,4/6,35.96,23,38.38,2021-05-11,01:03:11,---
NB00YZ,2,2/2,28.16,15,36.22,2021-05-09,22:58:47,---
QVYQCL,3,1/3,52.41,48,54.95,2021-05-09,22:58:13,---
83PQ4Y,5,3/5,1:03.260,39,51.22,2021-05-09,15:11:40,---
51D4MS,6,4/6,53.36,17,29.24,2021-05-09,15:10:23,---
I9PU75,6,5/6,32.85,24,52.97,2021-05-09,15:07:52,---
M8TDRL,6,4/6,1:09.540,26,37.1,2021-05-09,15:06:13,---
85JJ7A,3,2/3,1:42.820,52,37.93,2021-05-09,04:53:24,---
PFE2BT,6,2/6,2:24.620,85,47.3,2021-05-09,04:51:34,---
77PDLF,6,3/6,1:46.190,49,45.77,2021-05-09,04:48:50,---
C48HPK,5,1/5,1:37.090,72,52.53,2021-05-09,04:46:40,---
202ERQ,41,5/41,2:26.420,64,30.73,2021-05-09,03:11:53,---
BPZ1JY,39,12/39,2:08.230,66,39.77,2021-05-09,03:09:05,---
6HHM70,2,1/2,1.99,0,0.0,2021-05-09,03:03:55,---
Q0AYQ8,2,2/2,1:07.570,19,23.09,2021-05-09,03:03:48,---
6A5C81,3,2/3,43.08,20,33.43,2021-05-09,03:02:37,---
6AP7WM,4,2/4,37.42,16,36.88,2021-05-09,03:01:48,---
K34OGM,5,4/5,1:04.540,26,29.75,2021-05-09,03:01:07,---
W3N031,4,4/4,31.08,14,30.89,2021-05-09,02:59:36,---
GHXBKZ,3,1/3,1:11.400,32,42.02,2021-05-09,02:58:50,---
VWOH6U,7,4/7,2:21.880,60,40.17,2020-05-09,23:17:47,---
GH1G10,5,4/5,24.49,0,0.0,2021-05-09,02:42:43,---
2Z5HT0,5,4/5,52.17,24,34.5,2021-05-09,02:41:01,---
TNX7DW,5,5/5,32.57,15,31.32,2021-05-09,02:38:32,---
NJRDSW,4,3/4,1:28.170,32,25.18,2021-05-08,22:33:05,---
9S3QP3,7,3/7,2:15.500,73,37.2,2021-05-08,22:30:51,---
HHT1HZ,7,2/7,1:58.310,76,46.15,2021-05-08,22:28:26,---
Z3QQOI,37,1/37,3:00.500,82,31.91,2021-05-07,01:28:25,---
WYT37W,37,11/37,2:22.650,69,31.55,2021-05-05,23:43:07,---
E10BIL,37,3/37,2:55.220,68,29.79,2021-05-05,18:55:43,---
BPEY2F,38,1/38,3:00.020,86,37.0,2021-05-05,18:52:39,---
Y62TJD,38,3/38,3:00.430,92,36.58,2021-05-05,18:49:34,---
QMUJMN,38,1/38,3:00.850,108,40.81,2021-05-05,18:46:27,---
B344FS,32,21/32,1:17.580,20,19.33,2021-05-05,18:43:20,---
61P1OO,34,1/34,3:01.520,77,28.43,2021-05-05,18:40:14,---
4KG7JW,6,2/6,2:41.390,89,42.75,2021-05-05,05:18:48,---
7R33LD,5,1/5,1:57.950,83,50.36,2021-05-05,05:15:56,---
MQVHIK,2,1/2,1:10.270,42,53.79,2021-05-05,05:13:50,---
K6NMMP,6,2/6,2:15.480,73,41.63,2021-05-04,17:26:25,---
Z2J1MP,6,5/6,32.78,12,34.78,2021-05-04,17:24:05,---
I0YSKB,6,1/6,1:53.590,87,48.6,2021-05-04,17:17:47,---
VLDL7Y,5,3/5,33.84,12,33.69,2021-05-04,17:15:45,---
DNZF8T,4,1/4,44.87,42,61.51,2021-05-04,17:14:45,---
EPRHKP,48,2/48,3:02.710,94,38.42,2021-05-04,17:10:44,---
9GM6RB,40,3/40,2:54.890,90,40.83,2021-05-04,17:04:32,---
AJPE27,3,2/3,2:00.870,56,35.24,2021-05-04,16:43:37,---
4HO7SZ,4,3/4,40.37,20,37.16,2021-05-03,23:12:02,---
QRLMKZ,9,7/9,51.73,43,63.79,2020-07-18,03:58:09,---
1VHDH1,6,3/6,34.98,22,37.74,2021-05-03,23:09:11,---
Z2LHJF,6,4/6,44.77,24,38.87,2021-05-03,23:06:52,---
8U846X,6,5/6,35.66,22,48.79,2021-05-03,23:05:31,---
VN71NF,5,1/5,1:40.560,48,41.77,2021-05-03,23:03:06,---
EJWGHQ,6,4/6,1:06.490,28,32.49,2021-05-03,23:01:21,---
SITSC5,38,3/38,2:50.460,97,36.61,2021-05-03,22:20:50,---
YPUAT7,38,1/38,2:57.860,114,43.18,2021-05-03,22:17:44,---
7Q0Q09,39,9/39,2:56.900,54,22.39,2021-05-03,22:14:41,---
WRB9IZ,33,5/33,2:53.590,98,35.6,2021-05-03,22:11:33,---
ZVCE9N,5,1/5,1:39.170,56,41.14,2021-05-03,21:54:28,---
49JBVV,44,3/44,2:59.430,120,45.14,2021-05-03,21:34:09,---
A32NJQ,41,6/41,2:55.700,89,34.15,2021-05-03,21:30:59,---
Y4DY32,5,2/5,2:07.840,55,33.32,2021-05-03,04:29:01,---
18IEQB,4,2/4,1:48.020,77,52.21,2021-05-03,04:26:45,---
VGQ8Q0,4,2/4,34.91,21,36.09,2021-05-03,04:24:50,---
MYGMN9,5,4/5,1:42.980,34,27.97,2021-05-03,04:24:06,---
QM8JPP,5,3/5,1:08.480,57,50.82,2021-05-03,04:21:34,---
KZWI6V,3,3/3,26.32,0,0.0,2021-05-03,04:19:15,---
XDI597,5,1/5,56.11,45,66.3,2021-05-03,01:06:24,---
G1RPPZ,5,3/5,1:07.240,42,54.43,2021-05-03,01:05:24,---
6IGOPY,5,4/5,2:01.040,53,39.66,2021-05-03,01:04:00,---
ZLNRTC,5,2/5,1:03.680,51,59.36,2021-05-03,01:01:31,---
JJE4LV,5,3/5,51.74,21,35.95,2021-05-03,01:00:23,---
UCFLWG,5,2/5,2:17.840,78,41.79,2021-05-02,19:44:16,---
0G5BZ7,5,2/5,1:47.810,44,30.05,2021-05-02,19:41:49,---
46BVPA,5,2/5,2:06.990,95,50.08,2021-05-02,19:15:03,---
FCEQK9,5,2/5,2:08.490,68,44.83,2021-05-02,19:12:51,---
RRXKF0,6,4/6,48.85,15,23.34,2021-05-02,19:10:39,---
5D6K4M,5,4/5,37.13,10,17.78,2021-05-02,19:08:15,---
VILF4J,6,4/6,1:07.370,36,40.08,2021-05-02,19:05:44,---
1NEGG1,5,4/5,1:20.400,35,28.36,2021-05-02,19:03:16,---
JFDEHL,3,2/3,1:18.990,44,46.33,2021-05-02,19:01:05,---
ORD4VP,4,1/4,1:34.380,68,51.49,2021-05-02,18:59:39,---
M3YCRP,2,1/2,24.83,23,55.58,2021-05-02,18:58:00,---
H4618V,4,3/4,1:00.730,44,49.4,2021-05-02,18:57:17,---
PCQO5H,5,1/5,1:16.760,64,54.72,2021-05-02,18:55:04,---
CSCHQW,5,1/5,39.52,57,88.06,2021-05-02,18:53:41,---
VT92VN,36,5/36,2:44.340,118,46.73,2021-05-01,19:35:17,---
KI01S2,3,2/3,2:08.940,76,48.39,2021-05-01,19:17:32,---
CWJO5Y,3,1/3,45.7,38,53.83,2021-05-01,19:15:18,---
648NKX,5,2/5,2:16.470,89,46.16,2021-05-01,19:14:28,---
IP79XI,4,2/4,1:23.320,28,25.92,2021-04-30,15:57:35,---
JZPWY1,5,1/5,1:09.190,59,55.5,2021-04-30,15:56:06,---
X01BIS,4,3/4,1:23.710,42,41.57,2021-04-30,15:54:55,---
FX9B1S,4,3/4,1:32.960,21,32.92,2021-04-30,15:19:55,---
NNAEV6,4,1/4,2:11.510,76,44.71,2021-04-30,15:17:27,---
Y4AVUS,6,2/6,2:19.150,93,48.29,2021-04-30,15:15:11,---
8G8ZPN,4,1/4,2:40.620,107,43.71,2021-04-30,14:37:18,---
XM9UX5,6,1/6,2:21.020,77,44.25,2021-04-30,14:34:34,---
HHJPPV,5,2/5,2:05.220,57,34.98,2021-04-30,14:32:08,---
PA9U27,6,2/6,1:32.510,52,47.35,2021-04-30,14:29:58,---
YZJR02,5,2/5,2:14.750,69,36.07,2021-04-30,14:28:23,---
FCCXX8,6,2/6,1:54.490,85,58.17,2021-04-30,14:26:00,---
G7AV1Q,5,1/5,2:16.480,75,35.17,2021-04-30,14:24:02,---
FFKLYV,6,2/6,1:56.810,54,36.47,2021-04-30,14:21:40,---
CY62A1,3,1/3,27.33,22,52.69,2021-04-30,14:19:40,---
7SD7H9,6,2/6,1:29.320,37,34.93,2021-04-30,14:05:44,---
X9IRN5,4,2/4,1:59.140,100,60.43,2021-04-30,14:04:08,---
XGMIVZ,5,1/5,2:03.660,96,58.71,2021-04-30,04:37:32,---
MJEC3V,6,2/6,1:59.570,53,36.63,2021-04-30,00:24:47,---
RN64FA,5,1/5,53.68,31,49.18,2021-07-07,16:58:51,---
149JUZ,5,2/5,47.73,23,32.68,2021-04-30,00:14:08,---
BRTTQ5,5,5/5,20.82,6,0.0,2021-04-29,22:22:43,---
UJ9M7I,6,4/6,1:39.570,48,31.33,2021-04-29,22:21:30,---
TTEPQ2,6,2/6,2:10.350,53,30.38,2021-04-29,22:16:44,---
U7N903,4,1/4,2:17.450,82,41.47,2021-04-29,22:14:28,---
BWVSUO,3,3/3,37.85,20,34.87,2021-04-29,22:12:07,---
N8WDLF,4,2/4,1:24.550,55,47.55,2021-04-29,20:00:58,---
LLKQCH,4,3/4,27.54,13,34.86,2021-04-29,19:59:31,---
LYHGUV,41,1/41,3:02.120,109,41.51,2021-01-25,23:10:16,---
7NH98S,38,16/38,2:12.400,51,26.74,2021-04-29,17:23:13,---
KL6HRZ,40,6/40,2:32.190,98,44.55,2021-04-29,17:20:08,---
M8TDRL,6,4/6,1:09.540,26,37.1,2021-05-09,15:06:13,---
85JJ7A,3,2/3,1:42.820,52,37.93,2021-05-09,04:53:24,---
PFE2BT,6,2/6,2:24.620,85,47.3,2021-05-09,04:51:34,---
77PDLF,6,3/6,1:46.190,49,45.77,2021-05-09,04:48:50,---
C48HPK,5,1/5,1:37.090,72,52.53,2021-05-09,04:46:40,---
202ERQ,41,5/41,2:26.420,64,30.73,2021-05-09,03:11:53,---
BPZ1JY,39,12/39,2:08.230,66,39.77,2021-05-09,03:09:05,---
6HHM70,2,1/2,1.99,0,0.0,2021-05-09,03:03:55,---
Q0AYQ8,2,2/2,1:07.570,19,23.09,2021-05-09,03:03:48,---
6A5C81,3,2/3,43.08,20,33.43,2021-05-09,03:02:37,---
6AP7WM,4,2/4,37.42,16,36.88,2021-05-09,03:01:48,---
K34OGM,5,4/5,1:04.540,26,29.75,2021-05-09,03:01:07,---
W3N031,4,4/4,31.08,14,30.89,2021-05-09,02:59:36,---
GHXBKZ,3,1/3,1:11.400,32,42.02,2021-05-09,02:58:50,---
VWOH6U,5,2/5,2:21.880,60,40.17,2020-05-09,23:17:47,---
GH1G10,5,4/5,24.49,0,0.0,2021-05-09,02:42:43,---
2Z5HT0,5,4/5,52.17,24,34.5,2021-05-09,02:41:01,---
TNX7DW,5,5/5,32.57,15,31.32,2021-05-09,02:38:32,---
NJRDSW,4,3/4,1:28.170,32,25.18,2021-05-08,22:33:05,---
9S3QP3,7,3/7,2:15.500,73,37.2,2021-05-08,22:30:51,---
HHT1HZ,7,2/7,1:58.310,76,46.15,2021-05-08,22:28:26,---
Z3QQOI,37,1/37,3:00.500,82,31.91,2021-05-07,01:28:25,---
WYT37W,37,11/37,2:22.650,69,31.55,2021-05-05,23:43:07,---
E10BIL,37,3/37,2:55.220,68,29.79,2021-05-05,18:55:43,---
BPEY2F,38,1/38,3:00.020,86,37.0,2021-05-05,18:52:39,---
Y62TJD,38,3/38,3:00.430,92,36.58,2021-05-05,18:49:34,---
QMUJMN,38,1/38,3:00.850,108,40.81,2021-05-05,18:46:27,---
B344FS,32,21/32,1:17.580,20,19.33,2021-05-05,18:43:20,---
